"序號","事業單位名稱","違反條文","罰鍰文號","罰鍰日期"
71,"旗鴻通運有限公司","第32條第2項","高市勞條字第10440210500號","104/12/25"
72,"羅條原即原園日式涮涮鍋","第36條","高市勞條字第10439366200號","104/12/25"
,,"第39條",,
73,"貝爾手工餅乾專賣店","第22條第2項","高市勞條字第10439367800號","104/12/25"
74,"精上企業有限公司","第30條第5項","高市勞條字第10439925800號","104/12/25"
,,"第38條",,
,,"第39條",,
75,"川湖科技股份有限公司","第24條","高市勞條字第10439873900號","104/12/25"
76,"全國加油站股份有限公司","第24條","高市勞條字第10439461400號","104/12/25"
77,"澄園護理之家","第30條第5項","高市勞條字第10439647800號","104/12/25"
,,"第39條",,
78,"臺灣航勤股份有限公司","第32條第2項","高市勞條字第10439302800號","104/12/25"
79,"莊惠程即太妃堂藏御茶坊","第23條第2項","高市勞條字第10440223300號","104/12/25"
,,"第30條第5項",,
,,"第36條",,
80,"博正護理之家","第24條","高市勞條字第10439619700號","104/12/25"
,,"第32條第2項",,
81,"李亭蓁","第27條","高市勞條字第10440232400號","104/12/29"
82,"高雄市政府社會局兒童福利中心委託大仁科技大學承辦高雄市三民兒福公共托嬰中心","第23條第1項","高市勞條字第10439375100號","104/12/31"
83,"合順通運有限公司","第22條第2項","高市勞條字第10439532200號","105/01/04"
,,"第30條第5項",,
84,"社團法人中華民國唐氏症關愛者協會","第32條第2項","高市勞條字第10440115300號","105/01/05"
85,"高雄江山管理委員會","第24條","高市勞條字第10440389700號","105/01/04"
,,"第30條第5項",,
,,"第32條第2項",,
86,"中紡科技實業股份有限公司","第36條","高市勞條字第10440390000號","105/01/04"
87,"崇恩護理之家","第24條","高市勞條字第10439717500號","104/01/05"
88,"皇盟工程企業有限公司","第22條第2項","高市勞條字第10439977700號","105/01/04"
,,"第30條第5項",,
89,"沅勝國際有限公司","第32條第2項","高市勞條字第10439888100號","105/01/04"
,,"第38條",,
90,"蔡忠憲即昱名五金行","第24條","高市勞條字第10439754600號","105/01/05"
91,"蘇鳳琴即冰心茶王冷飲店","第22條第2項","高市勞條字第10439977800號","105/01/06"
92,"業永實業有限公司","第30條第5項","高市勞條字第10440044700號","105/01/05"
