"序號","事業單位名稱","違反條文","罰鍰文號","罰鍰日期"
121,"品宏通訊有限公司","勞動基準法第30條第5項","高市勞條字第1053120490A號","105/03/18"
122,"陳劍春即耶加雪夫商行","勞動基準法第21條第1項","高市勞條字第10531923800號","105/03/18"
,,"勞動基準法第24條",,
123,"品宏通訊有限公司","勞動基準法第24條","高市勞條字第10531204900號","105/03/18"
,,"勞動基準法第39條",,
124,"雙漁股份有限公司","勞動基準法第36條","高市勞條字第10531147300號","105/03/18"
125,"京鴻物業管理顧問股份有限公司","勞動基準法第21條第1項","高市勞條字第10531921800號","105/03/18"
,,"勞動基準法第24條",,
,,"勞動基準法第32條第2項",,
,,"勞動基準法第34條",,
,,"勞動基準法第36條",,
126,"祐春企業股份有限公司","勞動基準法第24條","高市勞條字第10531153400號","105/03/18"
,,"勞動基準法第39條",,
,,"勞動基準法第43條",,
127,"永鼎有限公司","勞動基準法第22條第2項","高市勞條字第10531231500號","105/03/18"
,,"勞動基準法第24條",,
,,"勞動基準法第32條第2項",,
128,"高雄汽車客運股份有限公司","勞動基準法第30條第5項","高市勞條字第10531927000號","105/03/21"
,,"勞動基準法第32條第2項",,
,,"勞動基準法第36條",,
129,"弘達流通股份有限公司","勞動基準法第24條","高市勞條字第10531818400號","105/03/21"
,,"勞動基準法第32條第2項",,
130,"高珍企業股份有限公司","勞動基準法第30條第5項","高市勞條字第10532011700號","105/03/21"
131,"美食家食材通路股份有限公司","勞動基準法第24條","高市勞條字第10532004700號","105/03/21"
,,"勞動基準法第32條第2項",,
132,"大榮汽車有限公司","勞動基準法第21條第1項","高市勞條字第10532009300號","105/03/22"
,,"勞動基準法第24條",,
,,"勞動基準法第32條第2項",,
,,"勞動基準法第36條",,
133,"財團法人高雄市私市宏仁老人長期照顧中心(養護型)","勞動基準法第21條第1項","高市勞條字第10531695700號","105/03/22"
134,"茂新營造工程股份有限公司","勞動基準法第24條","高市勞條字第10531826000號","105/03/23"
,,"勞動基準法第36條",,
135,"毅誠物業綜合事業有限公司","勞動基準法第30條第5項","高市勞條字第10531848700號","105/03/23"
136,"林雪妹即圓點子髮型設計","勞動基準法第30條第5項","高市勞條字第10532005100號","105/03/23"
137,"張東生即力大工程行","勞動基準法第59條","高市勞條字第10532014300號","105/03/23"
138,"全家便利商店股份有限公司","勞動基準法第30條第5項","高市勞條字第10531882200號","105/03/23"
139,"華南商業銀行股份有限公司","勞動基準法第24條","高市勞條字第10532019500號","105/03/23"
140,"國登營造股份有限公司","勞動基準法第24條","高市勞條字第10532000300號","105/03/23"
,,"勞動基準法第32條",,
,,"勞動基準法第36條",,
,,"勞動基準法第39條",,
141,"亞炬企業股份有限公司","勞動基準法第32條第2項","高市勞條字第10531451500號","105/03/23"
,,"勞動基準法第36條",,
142,"元鼎國際企業股份有限公司","勞動基準法第32條第2項","高市勞條字第10531291800號","105/03/24"
143,"杰諾國際有限公司","勞動基準法第22條第2項","高市勞條字第10532014400號","105/03/24"
,,"勞動基準法第24條",,
,,"勞動基準法第36條",,
,,"勞動基準法第39條",,
144,"郁冠食品有限公司","勞動基準法第30條第5項","高市勞條字第10532068500號","105/03/25"
145,"吉旺通運有限公司","勞動基準法第32條第2項","高市勞條字第10531370100號","105/03/28"
146,"方漢武即漢王食品行","勞動基準法第32條第2項","高市勞條字第10532129000號","105/03/28"
147,,"勞動基準法第36條",,
148,"璞蓁國際有限公司","勞動基準法第23條第2項","高市勞條字第10532129200號","105/03/28"
,,"勞動基準法第30條第5項",,
149,"建暐精密科技股份有限公司","勞動基準法第24條","高市勞條字第10532154900號","105/03/28"
,,"勞動基準法第32條第2項",,
,,"勞動基準法第38條",,
,,"勞動基準法第39條",,
150,"聯安保全股份有限公司","勞動基準法第22條第2項","高市勞條字第10531848900號","105/03/28"
151,"東森電視事業股份有限公司","勞動基準法第24條","高市勞條字第10531749000號","105/03/28"
,,"勞動基準法第32條第2項",,
,,"勞動基準法第34條",,
,,"勞動基準法第49條第1項",,
152,"東森電視事業股份有限公司","勞動基準法第30條第5項","高市勞條字第1053174900A號","105/03/28"
153,"全台物流股份有限公司","勞動基準法第32條第2項","高市勞條字第10532155000號","105/03/28"
,,"勞動基準法第36條",,
154,"全勤流通管理股份有限公司","勞動基準法第32條第2項","高市勞條字第10532153000號","105/03/28"
,,"勞動基準法第36條",,
155,"簡子龍即性感露露服飾行","勞動基準法第23條第2項","高市勞條字第10532206600號","105/03/28"
,,"勞動基準法第30條第5項",,
156,"大入股份有限公司","勞動基準法第39條","高市勞條字第10531972000號","105/03/28"
157,"台灣金剛錮鎂股份有限公司","勞動基準法第38條","高市勞條字第10532064200號","105/03/29"
158,"高雄市私立安康養護之家","勞動基準法第24條","高市勞條字第10532026300號","105/03/29"
,,"勞動基準法第32條",,
,,"勞動基準法第39條",,
159,"星展(台灣)商業銀行股份有限公司","勞動基準法第24條","高市勞條字第10532206900號","105/03/29"
160,"樂事屋資訊網股份有限公司","勞動基準法第30條第5項","高市勞條字第10532288200號","105/03/30"
,,"勞動基準法第39條",,
161,"瑞金工業有限公司","勞動基準法第24條","高市勞條字第10531848400號","105/03/31"
1,"印水涵有限公司","勞動基準法第24條","高市勞條字第10533203600號","105/05/05"
,,"勞動基準法第32條第2項",,
,,"勞動基準法第36條",,
,,"勞動基準法第39條",,
2,"城裡的月光餐飲事業有限公司","勞動基準法第23條第2項","高市勞條字第10532601900號","105/04/14"
,,"勞動基準法第24條",,
,,"勞動基準法第39條",,
3,"恆春交通企業有限公司","勞動基準法第24條","高市勞條字第10533358500號","105/05/12"
,,"勞動基準法第32條第2項",,
,,"勞動基準法第38條",,
,,"勞動基準法第39條",,
4,"一亨運動用品股份有限公司","勞動基準法第24條","高市勞條字第10534017600號","105/05/18"
,,"勞動基準法第32條第2項",,
5,"聯國金屬工業股份有限公司","勞動基準法第22條第2項","高市勞條字第10533685500號","105/05/20"
,,"勞動基準法第24條",,
,,"勞動基準法第43條",,
,,"勞動基準法第70條",,
6,"果田國際股份有限公司","勞動基準法第24條","高市勞條字第10531740700號","105/04/06"
,,"勞動基準法第36條",,
,,"勞動基準法第39條",,
7,"鄧博文即富育便當店","勞動基準法第22條第2項","高市勞條字第10531520700號","105/04/07"
,,"勞動基準法第36條",,
,,"勞動基準法第39條",,
8,"謝伯樺即假期汽車旅館","勞動基準法第23條第2項","高市勞條字第10532379300號","105/04/07"
,,"勞動基準法第36條",,
,,"勞動基準法第30條第5項",,
9,"御宿旅館有限公司","勞動基準法第22條第2項","高市勞條字第10532636400號","105/04/12"
,,"勞動基準法第36條",,
,,"勞動基準法第38條",,
10,"協羽機材工業股份有限公司","勞動基準法第21條第1項","高市勞條字第10533267600號","105/04/20"
,,"勞動基準法第38條",,
11,"三雅牙體技術所","勞動基準法第24條","高市勞條字第10532310600號","105/04/21"
,,"勞動基準法第32條第2項",,
,,"勞動基準法第39條",,
12,"金豐茂企業有限公司","勞動基準法第22條第2項","高市勞條字第10533333000號","105/05/16"
,,"勞動基準法第30條第6項",,
,,"勞動基準法第38條",,
13,"臺運實業股份有限公司","勞動基準法第32條第2項","高市勞條字第10533167200號","105/05/17"
,,"勞動基準法第38條",,
,,"勞動基準法第39條",,
14,"禾頡物流有限公司","勞動基準法第24條","高市勞條字第10533945400號","105/05/19"
,,"勞動基準法第32條第2項",,
,,"勞動基準法第36條",,
15,"李奕蓁即秀格子商行","勞動基準法第21條第1項","高市勞條字第10533944400號","105/05/19"
,,"勞動基準法第24條",,
,,"勞動基準法第39條",,
16,"京緻國際企業有限公司","勞動基準法第23條第2項","高市勞條字第10533932900號","105/05/20"
,,"勞動基準法第30條第5項",,
,,"勞動基準法第38條",,
17,"劉栯任即竣玳通訊行","勞動基準法第21條第1項","高市勞條字第10534031800號","105/05/23"
,,"勞動基準法第22條第2項",,
,,"勞動基準法第30條第5項",,
18,"高雄市私立禾康養護之家","勞動基準法第24條","高市勞條字第10533167800號","105/05/25"
,,"勞動基準法第32條第2項",,
,,"勞動基準法第36條",,
19,"高雄市私立新禾康養護之家","勞動基準法第24條","高市勞條字第10533166900號","105/05/25"
,,"勞動基準法第32條第2項",,
,,"勞動基準法第36條",,
20,"億松船務股份有限公司","勞動基準法第30條第5項","高市勞條字第10533777700號","105/05/26"
,,"勞動基準法第38條",,
,,"勞動基準法第39條",,
21,"李惠宇即寶來溫泉山莊","勞動基準法第24條","高市勞條字第10534212800號","105/05/31"
,,"勞動基準法第36條",,
,,"勞動基準法第39條",,
22,"高雄銀行股份有限公司","勞動基準法第24條","高市勞條字第10534349400號","105/05/13"
23,"中法興物流股份有限公司","第32條第2項","高市勞條字第10532064500號","105/04/21"
24,"可喜有限公司","第36條","高市勞條字第10533210300號","105/05/02"
25,"其祥食品有限公司","第39條","高市勞條字第10533298200號","105/05/09"
26,"台新國際商業銀行股份有限公司","第30條第5項","高市勞條字第10533737900號","105/05/10"
1,"漢程汽車客運股份有限公司","勞動基準法第30條第5項","高市勞條字第10533333200號","105/05/11"
2,"國光汽車客運股份有限公司","勞動基準法第30條第6項","高市勞條字第10533721400號","105/05/23"
3,"屏東汽車客運股份有限公司","勞動基準法第32條第2項","高市勞條字第10534455300號","105/06/04"
1,"亞瑟環境清潔股份有限公司","勞動基準法第36條","高市勞條字第10530997700號","105/02/24"
2,"台灣中油股份有限公司","勞動基準法第55條","高市勞條字第10531279000號","105/03/02"
3,"東南汽車客運股份有限公司","勞動基準法第30條第5項","高市勞條字第1053085740A號","105/02/17"
,,"勞動基準法第22條第2項","高市勞條字第10530857400號","105/02/17"
,,"勞動基準法第32條第2項",,
,,"勞動基準法第36條",,
,,"勞動基準法第39條",,
4,"台灣端板鋼鐵企業股份有限公司","勞動基準法第24條","高市勞條字第10530587100號","105/02/17"
,,"勞動基準法第32條第2項",,
,,"勞動基準法第36條",,
,,"勞動基準法第38條",,
,,"勞動基準法第39條",,
5,"高雄市私立幸福一家老人長期照顧中心(養護型)","勞動基準法第7條","高市勞條字第10534517100號","105/06/07"
,,"勞動基準法第23條第2項",,
,,"勞動基準法第30條第6項",,
,,"勞動基準法第32條第2項",,
,,"勞動基準法第36條 ",,
6,"慶昌加油站有限公司","勞動基準法第36條","高市勞條字第10534274600號","105/06/27"
,,"勞動基準法第39條",,
7,"亞太國際物流股份有限公司","勞動基準法第34條第2項","高市勞條字第10534127200號","105/06/23"
,,"勞動基準法第39條",,
,,"勞動基準法第80條","高市勞條字第1053412720A號",
8,"永全保全股份有限公司","勞動基準法第24條","高市勞條字第10530333200號","105/01/19"
,,"勞動基準法第32條第2項",,
,,"勞動基準法第36條",,
,,"勞動基準法39條",,
9,"港都汽車客運股份有限公司","勞動基準法第24條","高市勞條字第10531160700號","105/03/14"
,,"勞動基準法第32條第2項",,
10,"慈香庭有限公司","勞動基準法第22條第2項","高市勞條字第10534528700號","105/06/06"
,,"勞動基準法第24條",,
,,"勞動基準法第32條第2項",,
,,"勞動基準法第36條 ",,
11,"張孟軒即尊品咖啡店","勞動基準法第21條第1項","高市勞條字第10533998600號","105/06/08"
,,"勞動基準法第24條",,
,,"勞動基準法第30條第6項",,
,,"勞動基準法第39條",,
12,"龍衛公寓大廈管理維護有限公司","勞動基準法第24條","高市勞條字第10534174000號","105/06/23"
13,"煒懋實業有限公司","勞動基準法第22條第2項","高市勞條字第10533531500號","105/06/04"
,,"勞動基準法(行為時)第30條第5項",,
,,"勞動基準法第39條",,
14,"裕鵬物流股份有限公司","勞動基準法第22條第2項","高市勞條字第10533804700號","105/06/06"
,,"勞動基準法第32條第2項",,
,,"勞動基準法第39條 ",,
15,"安昌企業股份有限公司","勞動基準法第24條","高市勞條字第10534212600號","105/06/06"
,,"勞動基準法第32條第2項",,
,,"勞動基準法第38條",,
16,"金勛企業有限公司","勞動基準法第22條第2項","高市勞條字第10534257600號","105/06/07"
,,"勞動基準法第24條",,
,,"勞動基準法第32條第2項",,
17,"蔡崇文即樂子企業行","勞動基準法第22條第2項","高市勞條字第10534768100號","105/06/27"
,,"勞動基準法第36條",,
,,"勞動基準法第43條",,
18,"精隆盛企業有限公司","勞動基準法第32條第2項","高市勞條字第10533530300號","105/06/13"
,,"勞動基準法第37條",,
,,"勞動基準法第39條 ",,
19,"華新物業管理顧問有限公司","勞動基準法第22條第2項","高市勞條字第10533721800號","105/06/13"
,,"勞動基準法第30條第6項",,
,,"勞動基準法第39條",,
20,"宏苑休閒事業有限公司","勞動基準法第22條第2項","高市勞條字第10534656400號","105/06/14"
,,"勞動基準法第24條",,
21,"誠毅紙器股份有限公司","勞動基準法第22條第2項","高市勞條字第10534978300號","105/06/27"
,,"勞動基準法第32條第2項 ",,
22,"大通大飯店股份有限公司","勞動基準法第21條第1項","高市勞條字第10534980000號","105/06/28"
,,"勞動基準法第24條",,
,,"勞動基準法第36條",,
23,"台灣三美股份有限公司","勞動基準法第9條第1項","高市勞條字第10535026400號","105/06/27"
,,"勞動基準法第32條第2項",,
24,"樺澺行","勞動基準法第21條第1項","高市勞條字第10439789600號","105/01/06"
,,"勞動基準法第24條",,
25,"國雲保全股份有限公司","勞動基準法第30條第5項","高市勞條字第1044028420A號","105/01/14"
26,"高雄市私立加恩幼兒園","勞動基準法第24條","高市勞條字第10531261900號","105/03/08"
,,"勞動基準法第38條",,
27,"禾盈香有限公司","勞動基準法第22條第2項","高市勞條字第10532012000號","105/03/23"
,,"勞動基準法第30條第5項",,
28,"安泰商業銀行股份有限公司","勞動基準法第24條","高市勞條字第10531510200號","105/03/28"
29,"李勇諭即遑仔茶餐廳","勞動基準法第23條第2項","高市勞條字第10532282600號","105/03/30"
,,"勞動基準法第30條第5項",,
30,"王良安即赤崁企業行","勞動基準法第21條第1項","高市勞條字第10530911800號","105/02/17"
,,"勞動基準法第24條",,
31,"奕昇貨運有限公司","勞動基準法第22條第2項","高市勞條字第10530569600號","105/01/29"
,,"勞動基準法第32條第2項",,
32,"勝威保全股份有限公司","勞動基準法第22條第2項","高市勞條字第1043929240A號","104/12/21"
,,"勞動基準法第23條第2項",,
33,"高雄市私立明園幼兒園","勞動基準法第24條","高市勞條字第10532266100號","105/04/08"
,,"勞動基準法第38條",,
34,"李東根即八九啤酒炸雞","勞動基準法第24條","高市勞條字第10531586300號","105/04/07"
,,"勞動基準法第39條",,
35,"暳昇食品行","勞動基準法第23條第2項","高市勞條字第10532712600號","105/04/13"
,,"勞動基準法第30條第5項",,
36,"弘舜貨運股份有限公司","勞動基準法第24條","高市勞條字第10532142400號","105/04/14"
,,"勞動基準法第32條第2項",,
37,"乃榮醫療社團法人乃榮醫院","勞動基準法第24條","高市勞條字第10532941700號","105/04/21"
,,"勞動基準法第37條",,
38,"鼎玫企業有限公司","勞動基準法第24條","高市勞條字第10532992700號","105/04/21"
,,"勞動基準法第32條第2項",,
39,"林素杏即鈺善閣食坊","勞動基準法第22條第2項","高市勞條字第10532601700號","105/04/18"
,,"勞動基準法第39條",,
40,"潮坊股份有限公司","勞動基準法第24條","高市勞條字第10532246300號","105/04/15"
,,"勞動基準法第32條第2項",,
41,"億豐發有限公司","勞動基準法第22條第2項","高市勞條字第10532596000號","105/04/28"
,,"勞動基準法第24條",,
42,"宇琅有限公司","勞動基準法第22條第2項","高市勞條字第10533019900號","105/04/28"
,,"勞動基準法第39條",,
43,"賢源鋼鐵股份有限公司","勞動基準法第24條","高市勞條字第10532990300號","105/05/02"
,,"勞動基準法第39條",,
44,"宸浩企業股份有限公司","勞動基準法第24條","高市勞條字第10533038600號","105/05/03"
,,"勞動基準法第36條",,
45,"泰吉興機械有限公司","勞動基準法第22條第2項","高市勞條字第10533218100號","105/05/03"
,,"勞動基準法第38條",,
46,"冬福記有限公司","勞動基準法第22條第2項","高市勞條字第10533309900號","105/05/05"
,,"勞動基準法第59條",,
47,"皆豪實業股份有限公司","勞動基準法第24條","高市勞條字第10533670200號","105/05/10"
,,"勞動基準法第32條第2項",,
48,"神通資訊科技股份有限公司","勞動基準法第30條第6項","高市勞條字第10533248800號","105/05/12"
,,"勞動基準法第32條第2項",,
49,"立重紙業有限公司","勞動基準法第21條第1項","高市勞條字第10533740800號","105/05/12"
,,"勞動基準法第24條",,
50,"資誠聯合會計師事務所","勞動基準法第30條第5項","高市勞條字第10533384700號","105/05/12"
,,"勞動基準法第39條",,
51,"程國輝","勞動基準法第30條第5項","高市勞條字第10533936400號","105/05/13"
,,"勞動基準法第59條",,
52,"互盛股份有限公司","勞動基準法第24條","高市勞條字第10533946300號","105/05/18"
,,"勞動基準法第32條第2項",,
53,"許聰明即一志廣告社","勞動基準法第23條第2項","高市勞條字第10533977400號","105/05/18"
,,"勞動基準法第30條第5項",,
54,"玖菩鐵材企業有限公司","勞動基準法第24條","高市勞條字第10532950800號","105/05/19"
,,"勞動基準法第39條",,
55,"水漾淨水科技有限公司","勞動基準法第23條第2項","高市勞條字第10532898200號","105/05/19"
,,"勞動基準法第30條第5項",,
56,"十代有限公司","勞動基準法第24條","高市勞條字第10534024100號","105/05/20"
,,"勞動基準法第38條",,
57,"翁于嫙即綠世界眼鏡企業社","勞動基準法第23條第2項","高市勞條字第10533674400號","105/05/20"
,,"勞動基準法第30條第5項",,
58,"經捷科技股份有限公司","勞動基準法第24條","高市勞條字第10533763400號","105/05/20"
,,"勞動基準法第32條第2項",,
59,"力申汽車材料有限公司","勞動基準法第30條第5項","高市勞條字第10533450300號","105/05/16"
,,"勞動基準法第39條",,
60,"立綸機械工程有限公司","勞動基準法第24條","高市勞條字第10533450200號","105/05/23"
,,"勞動基準法第39條",,
61,"梁健明即香港發財燒臘店","勞動基準法第23條第2項","高市勞條字第10534098900號","105/05/25"
,,"勞動基準法第30條第5項",,
62,"愛國百貨股份有限公司","勞動基準法第24條","高市勞條字第10534026900號","105/05/26"
,,"勞動基準法第39條",,
63,"李朝安即清心冷飲","勞動基準法第23條第2項","高市勞條字第10534152400號","105/05/30"
,,"勞動基準法第30條第5項",,
64,"林玉金即福興工程行","勞動基準法第59條第2款","高市勞條字第10534027000號","105/05/30"
,,"勞動基準法第38條","高市勞條字第1053402700A號","105/05/30"
65,"騏晟實業有限公司","勞動基準法第24條","高市勞條字第10533921300號","105/05/31"
,,"勞動基準法第32條第2項",,
66,"莊雅鳳即昌榮商行","勞動基準法第32條第2項","高市勞條字第10533334300號","105/06/01"
,,"勞動基準法第36條",,
67,"新竹物流股份有限公司","勞動基準法第32條第2項","高市勞條字第10534034200號","105/06/01"
68,"吳楊麗滿即一德食品廠","勞動基準法第24條","高市勞條字第10534374500號","105/06/03"
,,"勞動基準法第38條",,
69,"朋盟國際股份有限公司","勞動基準法第32條第2項","高市勞條字第10533438400號","105/06/04"
,,"勞動基準法第49條第1項",,
70,"大墩藥業有限公司","勞動基準法第24條","高市勞條字第10534174100號","105/06/06"
,,"勞動基準法第39條",,
71,"翠峰國宅大廈住戶管理委員會","勞動基準法第21條第1項","高市勞條字第10533955700號","105/06/06"
,,"勞動基準法第30條第5項",,
72,"朋柏螺絲股份有限公司","勞動基準法第24條","高市勞條字第10534279400號","105/06/06"
,,"勞動基準法第39條 ",,
73,"台灣善美的股份有限公司","勞動基準法第32條第2項","高市勞條字第10534458800號","105/06/06"
,,"勞動基準法第39條",,
74,"永達營造股份有限公司","勞動基準法第30條第5項","高市勞條字第10533644100號","105/06/13"
75,"順發電腦股份有限公司","勞動基準法第24條","高市勞條字第10534257700號","105/06/13"
,,"勞動基準法第39條",,
76,"林冠瑋即豐凱企業社","勞動基準法第32條","高市勞條字第10533920500號","105/06/14"
,,"勞動基準法第36條",,
77,"天悅大酒店股份有限公司","勞動基準法第24條","高市勞條字第10533762900號","105/06/15"
,,"勞動基準法第39條",,
78,"雷諾瓦國際有限公司","勞動基準法第24條","高市勞條字第10534439600號","105/06/15"
,,"勞動基準法第39條",,
79,"兆鴻藥業有限公司","勞動基準法第22條第2項","高市勞條字第10533763600號","105/06/17"
,,"勞動基準法第24條",,
80,"高陽明眼科診所","勞動基準法第24條","高市勞條字第10533911100號","105/06/20"
,,"勞動基準法第39條",,
81,"嘉績百貨企業股份有限公司","勞動基準法第36條","高市勞條字第10534274900號","105/06/23"
,,"勞動基準法第39條",,
82,"黃明珠即宏林行","勞動基準法第23條第2項","高市勞條字第10535026000號","105/06/27"
,,"勞動基準法第30條第5項",,
83,"味全食品工業股份有限公司","勞動基準法第32條第2項","高市勞條字第10534157700號","105/06/27"
84,"松浴有限公司","勞動基準法第24條","高市勞條字第10535026200號","105/06/27"
,,"勞動基準法第32條第2項",,
85,"忻協企業股份有限公司","勞動基準法第32條第2項","高市勞條字第10534845100號","105/06/27"
,,"勞動基準法第36條",,
86,"佐登妮絲國際股份有限公司","勞動基準法第22條第2項","高市勞條字第10535184300號","105/06/29"
87,"港都有線電視股份有限公司","勞動基準法第24條","高市勞條字第10535169400號","105/06/29"
,,"勞動基準法第32條第2項",,
88,"力大鋼鐵工業股份有限公司","勞動基準法第32條第2項","高市勞條字第10534801300號","105/06/30"
,,"勞動基準法第36條",,
89,"盧譽心即愛家企業社","勞動基準法第80條","高市勞條字第10532935000號","105/04/20"
90,"高雄市私立恩睿文理短期補習班","勞動基準法第80條","高市勞條字第10532768700號","105/04/21"
91,"張瀞方即宏軍工程行","勞動基準法第80條","高市勞條字第10532564400號","105/04/28"
92,"學承電腦股份有限公司","勞動基準法第80條","高市勞條字第10533664900號","105/05/10"
93,"徐東江即東耀科技企業社","勞動基準法第80條","高市勞條字第10533945500號","105/05/13"
94,"宏興昌有限公司","勞動基準法第80條","高市勞條字第10534152500號","105/06/03"
95,"長春人造樹脂廠股份有限公司","勞動基準法第24條","高市勞條字第10439926300號","104/12/23"
96,"高雄市私立加州幼兒園","勞動基準法第24條","高市勞條字第10439328600號","104/12/25"
97,"許嘉軒即乙駿五金機械行","勞動基準法第22條第2項","高市勞條字第10439625200號","105/01/07"
98,"金豐企業管理顧問股份有限公司","勞動基準法第32條第2項","高市勞條字第1043962570A號","105/01/15"
99,"百朝股份有限公司","勞動基準法第32條第2項","高市勞條字第10531140700號","105/02/22"
100,"吳釜陞即御之香飯包","勞動基準法第30條第5項","高市勞條字第10531705300號","105/03/10"
101,"佳縉企業有限公司","勞動基準法第30條第5項","高市勞條字第10531880900號","105/03/28"
102,"富傑特有限公司","勞動基準法第30條第5項","高市勞條字第10531888200號","105/03/22"
103,"酒田則彥即海洋秀麗美容社","勞動基準法第24條","高市勞條字第10531039700號","105/02/15"
104,"富佶企業有限公司","勞動基準法第38條","高市勞條字第10531224900號","105/03/18"
105,"元博貿易有限公司","勞動基準法第30條第5項","高市勞條字第10531451100號","105/03/09"
106,"旭奇實業股份有限公司","勞動基準法第22條第2項","高市勞條字第10530017700號","105/01/25"
107,"蔡麗娟即華夏冰心茶王冷飲店","勞動基準法第21條第1項","高市勞條字第10440404900號","105/01/05"
108,"國基冷凍工程股份有限公司","勞動基準法第32條第2項","高市勞條字第10439925700號","105/01/13"
109,"鸝鳥企業股份有限公司","勞動基準法第39條","高市勞條字第10439873100號","105/01/12"
110,"高雄市私立吉米亨利幼兒園","勞動基準法第22條第2項","高市勞條字第10439934400號","105/01/13"
111,"陽光診所","勞動基準法第30條第5項","高市勞條字第10530393500號","105/01/20"
112,"勝捷餐飲股份有限公司","勞動基準法第24條","高市勞條字第10532202800號","105/04/01"
113,"高雄市私立仁祥養護之家","勞動基準法第24條","高市勞條字第10532246600號","105/04/07"
114,"大孟實業有限公司","勞動基準法第36條","高市勞條字第10532266000號","105/04/07"
115,"趙傳亨即阿六能源行","勞動基準法第30條第5項","高市勞條字第10532310500號","105/04/11"
116,"穩利港式點心","勞動基準法第39條","高市勞條字第10531972600號","105/04/11"
117,"建鋁企業有限公司","勞動基準法第32條第2項","高市勞條字第10531971600號","105/04/12"
118,"漢衛保全股份有限公司","勞動基準法第39條","高市勞條字第10532633500號","105/04/12"
119,"十方法界實業股份有限公司","勞動基準法第36條","高市勞條字第10532037200號","105/04/12"
120,"皇典機械工程行","勞動基準法第36條","高市勞條字第10532637300號","105/04/13"
121,"洪嘉榮即瑞飛商行","勞動基準法第30條第5項","高市勞條字第10532360000號","105/04/13"
122,"集信企業股份有限公司","勞動基準法第22條第2項","高市勞條字第10532527200號","105/04/14"
123,"長川化工股份有限公司","勞動基準法第24條","高市勞條字第10532008000號","105/04/14"
124,"高雄市私立怡泉老人長期照顧中心","勞動基準法第30條第5項","高市勞條字第10532267400號","105/04/15"
125,"高雄市私立吉仁養護中心","勞動基準法第30條第5項","高市勞條字第10532359000號","105/04/15"
126,"財團法人高雄市私立紅十字會育幼中心","勞動基準法第32條第2項","高市勞條字第10532203000號","105/04/18"
127,"黃凱祥即放起士企業社","勞動基準法第30條第5項","高市勞條字第10532929700號","105/04/19"
128,"順懋興企業有限公司","勞動基準法第24條","高市勞條字第10532947300號","105/04/20"
129,"曾加舜中醫診所","勞動基準法第30條第5項","高市勞條字第10532913500號","105/04/20"
130,"合順發有限公司","勞動基準法第39條","高市勞條字第10532939300號","105/04/21"
131,"八藝傳播有限公司","勞動基準法第22條第2項","高市勞條字第10532528600號","105/04/20"
132,"寰宇新世紀股份有限公司","勞動基準法第38條","高市勞條字第10532119100號","105/04/20"
133,"鉅祥倉儲有限公司","勞動基準法第21條第1項","高市勞條字第10532801900號","105/04/21"
134,"黛安娜國際企業有限公司","勞動基準法第30條第5項","高市勞條字第10532899000號","105/04/21"
135,"好地方飯店股份有限公司","勞動基準法第39條","高市勞條字第10532828300號","105/04/21"
136,"吉財通運股份有限公司","勞動基準法第30條第5項","高市勞條字第10532092100號","105/04/22"
137,"億信汽車材料行","勞動基準法第30條第5項","高市勞條字第10533010300號","105/04/22"
138,"徐楷芸即信東企業行","勞動基準法第22條第2項","高市勞條字第10533005600號","105/04/25"
139,"高雄市私立華榮養護中心","勞動基準法第30條第5項","高市勞條字第10533011200號","105/04/25"
140,"高維坤即抬彎台灣腳養生館","勞動基準法第23條第2項","高市勞條字第10532171200號","105/04/25"
141,"金大漢科技股份有限公司","勞動基準法第43條","高市勞條字第10532898100號","105/04/26"
142,"得亨有限公司","勞動基準法第39條","高市勞條字第10532950700號","105/04/26"
143,"高雄市明山慈安居老人養護中心","勞動基準法第30條第5項","高市勞條字第10532950900號","105/04/27"
144,"蔡金山即元興土木包工業","勞動基準法第30條第5項","高市勞條字第10533020000號","105/04/28"
145,"仕橋企管顧問有限公司","勞動基準法第32條第2項","高市勞條字第10532447800號","105/04/29"
146,"帕莎蒂娜國際有限公司","勞動基準法第24條","高市勞條字第10532443600號","105/04/29"
147,"高雄市私立文宗老人長期照顧中心(養護型)","勞動基準法第24條","高市勞條字第10533031600號","105/05/02"
148,"中友船舶貨物裝卸承攬股份有限公司","勞動基準法第34條","高市勞條字第10533167900號","105/05/02"
149,"元鴻室內裝修工程有限公司","勞動基準法第30條第5項","高市勞條字第10532358800號","105/05/02"
150,"高雄市私立湖內老人養護之家","勞動基準法第30條第5項","高市勞條字第10532951000號","105/05/02"
151,"張中栗即順福昌行","勞動基準法第30條第5項","高市勞條字第10533292600號","105/05/03"
152,"尚潔環境工程股份有限公司","勞動基準法第70條","高市勞條字第10533166500號","105/05/03"
153,"柯雅玲即福德馬克冰茶","勞動基準法第36條","高市勞條字第10533127700號","105/05/04"
154,"高雄市私立快樂家園老人長期照顧中心(養護型)","勞動基準法第30條第5項","高市勞條字第10533249700號","105/05/05"
155,"高雄市私立寶貝屋托嬰中心","勞動基準法第24條","高市勞條字第10533250100號","105/05/06"
156,"仕懋企業有限公司","勞動基準法第39條","高市勞條字第10533163200號","105/05/09"
157,"尚峯模具有限公司","勞動基準法第37條","高市勞條字第10533516500號","105/05/09"
158,"水發工程有限公司","勞動基準法第30條第5項","高市勞條字第10533333600號","105/05/09"
